total children,POSTAL
5123.0,10002
1807.0,10003
26.25,10004
326.0,10005
159.0,10006
1555.0,10007
2872.0,10009
1294.0,10010
2311.0,10011
1044.0,10012
2084.0,10013
1378.0,10014
2138.0,10016
620.0,10017
158.0,10018
1618.0,10019
3613.0,10021
1631.0,10022
5060.0,10023
4666.0,10024
5943.0,10025
2840.0,10026
4310.0,10027
3345.0,10028
6342.0,10029
2350.0,10030
4227.0,10031
4097.0,10032
4045.0,10033
3192.0,10034
2164.4285714285716,10035
837.0,10036
1134.0,10037
955.0,10038
2303.0,10039
3329.0,10040
776.0,10044
3408.0,10128
907.0,10280
3562.0,10301
2047.0,10302
2799.0,10303
3886.0,10304
3470.0,10305
4208.0,10306
1208.0,10307
2142.0,10308
2835.0,10309
2574.0,10310
4698.0,10312
6951.0,10314
4766.0,10451
9124.0,10452
8966.0,10453
4318.0,10454
4787.0,10455
10384.0,10456
8672.0,10457
8938.0,10458
5607.0,10459
6753.0,10460
4052.0,10461
7178.0,10462
4554.0,10463
28.22222222222222,10464
3249.0,10465
6512.0,10466
10427.0,10467
8033.0,10468
5680.0,10469
1224.0,10470
1677.0,10471
7259.0,10472
5325.0,10473
540.3636363636364,10474
2580.0,10475
738.0,11004
2107.0,11101
2310.0,11102
2245.0,11103
1955.0,11104
2213.0,11105
2506.0,11106
46.0,11109
2502.830508474576,11201
6086.0,11203
8746.0,11204
5129.0,11205
9557.0,11206
9927.0,11207
10074.0,11208
5542.0,11209
6835.0,11210
11184.0,11211
8767.0,11212
6277.0,11213
7201.0,11214
5707.0,11215
4112.0,11216
2814.0,11217
8281.0,11218
15412.0,11219
10133.0,11220
7636.0,11221
1694.0,11222
7472.0,11223
3412.0,11224
5078.0,11225
9755.0,11226
3278.0,11228
6392.0,11229
8846.0,11230
3113.0,11231
2924.0,11232
6961.0,11233
7284.0,11234
5251.0,11235
7829.0,11236
5047.0,11237
3494.0,11238
672.0,11239
3615.0,11354
5648.0,11355
2144.0,11356
2698.0,11357
2622.0,11358
14.0,11359
1126.0,11360
1931.0,11361
1135.0,11362
461.0,11363
2203.0,11364
3137.0,11365
929.0,11366
4573.0,11367
12392.0,11368
3535.0,11369
2469.0,11370
5602.0,11372
8636.0,11373
2989.0,11374
5132.0,11375
7188.0,11377
3171.0,11378
2555.0,11379
8997.0,11385
1243.0,11411
2832.0,11412
3077.0,11413
1812.0,11414
1506.0,11415
2357.0,11416
2485.0,11417
3444.0,11418
4006.0,11419
3734.0,11420
3461.0,11421
2470.0,11422
2310.0,11423
1390.0,11426
1660.0,11427
1499.0,11428
2000.0,11429
17.0,11430
5155.0,11432
3174.0,11433
4955.0,11434
4934.0,11435
1682.0,11436
7324.0,11691
1988.0,11692
167.46428571428575,11693
1483.0,11694
287.0,11697
